SITE	BESTPROB	takifugu_rubripes1	takifugu_rubripes2	tetraodon_nigroviridis1	tetraodon_nigroviridis2	gasterosteus_aculeatus1	gasterosteus_aculeatus2	xiphophorus_maculatus1	xiphophorus_maculatus2	oryzias_latipes1	oryzias_latipes2	oreochromis_niloticus1	oreochromis_niloticus2	danio_rerio1	danio_rerio2	astyanax_mexicanus1	astyanax_mexicanus2
2154	0.999999	NONE	ENSTRUG00000015418	NONE	ENSTNIG00000012687	NONE	ENSGACG00000019993	NONE	ENSXMAG00000004524	NONE	ENSORLG00000015851	NONE	ENSONIG00000000012	NONE	ENSDARG00000073858	NONE	ENSAMXG00000000601
2155	0.999681	ENSTRUG00000004998	ENSTRUG00000008247	ENSTNIG00000014617	NONE	ENSGACG00000000882	ENSGACG00000010455	ENSXMAG00000011802	ENSXMAG00000016364	ENSORLG00000000823	NONE	ENSONIG00000019002	ENSONIG00000004115	ENSDARG00000006207	NONE	ENSAMXG00000015287	ENSAMXG00000006809
2156	0.999984	ENSTRUG00000003759	NONE	ENSTNIG00000014618	NONE	ENSGACG00000000884	NONE	ENSXMAG00000001577	NONE	ENSORLG00000000813	NONE	ENSONIG00000018995	NONE	ENSDARG00000053574	NONE	ENSAMXG00000015244	NONE
2157	0.975341	ENSTRUG00000003737	NONE	ENSTNIG00000014619	NONE	NONE	ENSGACG00000010452	ENSXMAG00000001576	NONE	ENSORLG00000000768	NONE	ENSONIG00000018994	NONE	ENSDARG00000092154	NONE	ENSAMXG00000015230	ENSAMXG00000006796
2158	0.987229	ENSTRUG00000003231	ENSTRUG00000007956	ENSTNIG00000014620	ENSTNIG00000014741	ENSGACG00000000898	ENSGACG00000010427	ENSXMAG00000001562	ENSXMAG00000016335	ENSORLG00000000763	ENSORLG00000003328	ENSONIG00000018990	ENSONIG00000004117	ENSDARG00000004150	ENSDARG00000007195	ENSAMXG00000015216	ENSAMXG00000006790
2159	0.999995	ENSTRUG00000002578	NONE	ENSTNIG00000014621	NONE	ENSGACG00000000906	NONE	ENSXMAG00000001546	NONE	ENSORLG00000000752	NONE	ENSONIG00000018986	NONE	ENSDARG00000003961	NONE	ENSAMXG00000015192	NONE
2160	0.999999	NONE	ENSTRUG00000007858	NONE	ENSTNIG00000014740	NONE	ENSGACG00000010391	NONE	ENSXMAG00000016308	NONE	ENSORLG00000003315	NONE	ENSONIG00000004124	NONE	ENSDARG00000041991	NONE	ENSAMXG00000006788
2161	0.999802	ENSTRUG00000002554	NONE	ENSTNIG00000001352	NONE	ENSGACG00000000911	ENSGACG00000010382	ENSXMAG00000020270	ENSXMAG00000019600	ENSORLG00000000736	NONE	ENSONIG00000018985	ENSONIG00000004129	ENSDARG00000003900	NONE	ENSAMXG00000024817	NONE
2162	0.999996	ENSTRUG00000002941	NONE	ENSTNIG00000014623	NONE	ENSGACG00000000913	NONE	ENSXMAG00000001535	NONE	ENSORLG00000000729	NONE	ENSONIG00000018983	NONE	ENSDARG00000024141	NONE	ENSAMXG00000015170	NONE
2163	0.999154	ENSTRUG00000003223	ENSTRUG00000007606	ENSTNIG00000014624	ENSTNIG00000014737	ENSGACG00000000914	NONE	ENSXMAG00000001524	ENSXMAG00000016299	ENSORLG00000000719	ENSORLG00000003297	ENSONIG00000018982	ENSONIG00000004134	ENSDARG00000033956	NONE	ENSAMXG00000015140	NONE
2164	0.999448	ENSTRUG00000003517	NONE	ENSTNIG00000014625	NONE	ENSGACG00000000920	NONE	ENSXMAG00000001516	NONE	ENSORLG00000000716	NONE	ENSONIG00000018979	NONE	ENSDARG00000027938	NONE	ENSAMXG00000002534	NONE
2165	0.964295	ENSTRUG00000003901	NONE	ENSTNIG00000014626	ENSTNIG00000014736	ENSGACG00000000924	NONE	ENSXMAG00000001436	ENSXMAG00000016217	ENSORLG00000000702	NONE	ENSONIG00000018978	ENSONIG00000004135	ENSDARG00000060309	NONE	ENSAMXG00000002500	NONE
2166	0.745966	ENSTRUG00000004549	ENSTRUG00000006596	ENSTNIG00000014628	ENSTNIG00000014735	ENSGACG00000000936	ENSGACG00000001327	ENSXMAG00000001382	ENSXMAG00000016194	ENSORLG00000000653	NONE	ENSONIG00000018974	ENSONIG00000004143	NONE	ENSDARG00000060094	ENSAMXG00000015659	ENSAMXG00000016742
2167	0.727675	ENSTRUG00000005109	ENSTRUG00000006520	NONE	ENSTNIG00000014734	NONE	ENSGACG00000001336	ENSXMAG00000001379	ENSXMAG00000016193	ENSORLG00000000621	NONE	ENSONIG00000018973	ENSONIG00000004149	NONE	ENSDARG00000060095	ENSAMXG00000015636	ENSAMXG00000016765
2168	0.992223	ENSTRUG00000005186	NONE	ENSTNIG00000007264	NONE	ENSGACG00000000312	NONE	ENSXMAG00000004038	NONE	ENSORLG00000016012	NONE	ENSONIG00000019334	NONE	ENSDARG00000040157	NONE	ENSAMXG00000017357	NONE
2169	0.984713	ENSTRUG00000004534	ENSTRUG00000005116	ENSTNIG00000007268	ENSTNIG00000014730	ENSGACG00000000319	ENSGACG00000001365	ENSXMAG00000004063	ENSXMAG00000016140	ENSORLG00000016042	NONE	ENSONIG00000019329	ENSONIG00000004166	ENSDARG00000029474	ENSDARG00000060116	ENSAMXG00000017559	ENSAMXG00000016854
2170	0.994101	NONE	ENSTRUG00000012439	NONE	ENSTNIG00000018391	NONE	ENSGACG00000008879	NONE	ENSXMAG00000014422	NONE	ENSORLG00000008495	NONE	ENSONIG00000005963	NONE	ENSDARG00000016837	NONE	ENSAMXG00000020825
2171	0.99414	NONE	ENSTRUG00000012895	NONE	ENSTNIG00000018393	NONE	ENSGACG00000008834	NONE	ENSXMAG00000014413	NONE	ENSORLG00000008484	NONE	ENSONIG00000005957	NONE	ENSDARG00000055901	NONE	ENSAMXG00000011009
2172	0.999955	NONE	ENSTRUG00000012972	NONE	ENSTNIG00000018396	NONE	ENSGACG00000008767	NONE	ENSXMAG00000014375	NONE	ENSORLG00000008352	NONE	ENSONIG00000003121	NONE	ENSDARG00000028715	NONE	ENSAMXG00000015982
2173	0.999999	ENSTRUG00000004426	NONE	ENSTNIG00000007271	NONE	ENSGACG00000000327	NONE	ENSXMAG00000004074	NONE	ENSORLG00000016046	NONE	ENSONIG00000019327	NONE	ENSDARG00000030632	NONE	ENSAMXG00000016327	NONE
2174	0.999999	ENSTRUG00000004337	NONE	ENSTNIG00000007272	NONE	ENSGACG00000000329	NONE	ENSXMAG00000003956	NONE	ENSORLG00000006193	NONE	ENSONIG00000019326	NONE	ENSDARG00000070161	NONE	ENSAMXG00000003654	NONE
2175	0.999909	NONE	ENSTRUG00000013059	NONE	ENSTNIG00000018397	NONE	ENSGACG00000008758	NONE	ENSXMAG00000014274	NONE	ENSORLG00000008330	NONE	ENSONIG00000003095	NONE	ENSDARG00000078717	NONE	ENSAMXG00000016039
2176	0.994781	ENSTRUG00000014645	ENSTRUG00000013489	ENSTNIG00000005089	ENSTNIG00000018398	ENSGACG00000003472	ENSGACG00000008747	ENSXMAG00000003615	ENSXMAG00000014270	ENSORLG00000013003	ENSORLG00000008288	NONE	ENSONIG00000003094	ENSDARG00000061687	NONE	ENSAMXG00000011222	NONE
2177	0.996319	NONE	ENSTRUG00000013500	ENSTNIG00000017780	ENSTNIG00000018399	ENSGACG00000003469	ENSGACG00000008744	ENSXMAG00000003614	ENSXMAG00000014264	ENSORLG00000012991	NONE	ENSONIG00000002639	ENSONIG00000003093	ENSDARG00000017111	NONE	ENSAMXG00000011214	NONE
2178	0.997488	ENSTRUG00000014661	ENSTRUG00000013523	ENSTNIG00000017781	NONE	ENSGACG00000003457	ENSGACG00000008725	ENSXMAG00000003610	ENSXMAG00000014247	NONE	ENSORLG00000008282	ENSONIG00000002634	ENSONIG00000003090	ENSDARG00000017299	NONE	ENSAMXG00000011207	NONE
2179	0.999996	ENSTRUG00000014603	NONE	ENSTNIG00000017782	NONE	ENSGACG00000003445	NONE	ENSXMAG00000003607	NONE	ENSORLG00000012970	NONE	ENSONIG00000002630	NONE	ENSDARG00000061718	NONE	ENSAMXG00000011179	NONE
2180	0.999999	ENSTRUG00000014598	NONE	ENSTNIG00000017783	NONE	ENSGACG00000003440	NONE	ENSXMAG00000003599	NONE	ENSORLG00000012961	NONE	ENSONIG00000002626	NONE	ENSDARG00000061713	NONE	ENSAMXG00000011166	NONE
2181	0.999321	ENSTRUG00000014561	ENSTRUG00000013573	ENSTNIG00000017785	ENSTNIG00000018401	ENSGACG00000003436	ENSGACG00000008712	ENSXMAG00000003593	ENSXMAG00000014241	ENSORLG00000012953	ENSORLG00000008268	ENSONIG00000002623	ENSONIG00000003087	ENSDARG00000070538	NONE	ENSAMXG00000011148	NONE
2182	0.999321	ENSTRUG00000014525	ENSTRUG00000013626	ENSTNIG00000017786	ENSTNIG00000018402	ENSGACG00000003409	ENSGACG00000008708	ENSXMAG00000003588	ENSXMAG00000014230	ENSORLG00000012936	ENSORLG00000008251	ENSONIG00000002621	ENSONIG00000003084	ENSDARG00000070537	NONE	ENSAMXG00000011140	NONE
2183	0.999999	ENSTRUG00000014478	NONE	ENSTNIG00000017787	NONE	ENSGACG00000004716	NONE	ENSXMAG00000003559	NONE	ENSORLG00000012917	NONE	ENSONIG00000002609	NONE	ENSDARG00000020278	NONE	ENSAMXG00000011129	NONE
2184	0.999999	ENSTRUG00000014430	NONE	ENSTNIG00000017788	NONE	ENSGACG00000004704	NONE	ENSXMAG00000003539	NONE	ENSORLG00000012880	NONE	ENSONIG00000002595	NONE	ENSDARG00000061752	NONE	ENSAMXG00000011121	NONE
2185	0.999987	NONE	ENSTRUG00000013660	NONE	ENSTNIG00000001379	NONE	ENSGACG00000008684	NONE	ENSXMAG00000014219	NONE	ENSORLG00000008240	NONE	ENSONIG00000003081	NONE	ENSDARG00000040869	NONE	ENSAMXG00000016461
2186	0.530231	ENSTRUG00000014406	NONE	ENSTNIG00000017789	NONE	ENSGACG00000004689	NONE	ENSXMAG00000003536	NONE	NONE	ENSORLG00000012834	ENSONIG00000002593	NONE	ENSDARG00000035957	NONE	ENSAMXG00000011115	NONE
2187	0.999936	ENSTRUG00000014387	NONE	ENSTNIG00000017790	NONE	ENSGACG00000004672	NONE	ENSXMAG00000003531	NONE	ENSORLG00000012852	NONE	ENSONIG00000002590	NONE	ENSDARG00000093406	NONE	ENSAMXG00000011107	NONE
2188	0.999858	ENSTRUG00000014383	NONE	ENSTNIG00000017791	NONE	ENSGACG00000004660	NONE	ENSXMAG00000003529	NONE	ENSORLG00000012846	NONE	ENSONIG00000002588	NONE	ENSDARG00000061728	NONE	ENSAMXG00000011102	NONE
2189	0.994111	NONE	ENSTRUG00000010527	NONE	ENSTNIG00000017041	NONE	ENSGACG00000009756	NONE	ENSXMAG00000018269	NONE	ENSORLG00000005545	NONE	ENSONIG00000000541	NONE	ENSDARG00000004037	NONE	ENSAMXG00000009535
2190	0.999954	ENSTRUG00000014333	NONE	ENSTNIG00000017793	NONE	ENSGACG00000004640	NONE	ENSXMAG00000003520	NONE	ENSORLG00000012799	NONE	ENSONIG00000002584	NONE	ENSDARG00000061723	NONE	ENSAMXG00000011774	NONE
2191	0.999999	ENSTRUG00000014247	NONE	ENSTNIG00000017794	NONE	ENSGACG00000004581	NONE	ENSXMAG00000003504	NONE	ENSORLG00000012788	NONE	ENSONIG00000002567	NONE	ENSDARG00000056566	NONE	ENSAMXG00000011773	NONE
2192	0.999999	NONE	ENSTRUG00000010021	NONE	ENSTNIG00000017037	NONE	ENSGACG00000009812	NONE	ENSXMAG00000018215	NONE	ENSORLG00000005460	NONE	ENSONIG00000000555	NONE	ENSDARG00000060559	NONE	ENSAMXG00000000563
2193	0.999907	ENSTRUG00000014177	NONE	ENSTNIG00000017795	NONE	ENSGACG00000004565	NONE	ENSXMAG00000003494	NONE	ENSORLG00000012754	NONE	ENSONIG00000002565	NONE	ENSDARG00000056034	NONE	ENSAMXG00000011771	NONE
2194	0.868969	NONE	ENSTRUG00000009022	NONE	ENSTNIG00000017032	NONE	ENSGACG00000009958	NONE	ENSXMAG00000003795	NONE	ENSORLG00000005355	NONE	ENSONIG00000000607	ENSDARG00000043334	ENSDARG00000017595	ENSAMXG00000011332	ENSAMXG00000019509
2195	0.953626	NONE	ENSTRUG00000008893	NONE	ENSTNIG00000017031	NONE	ENSGACG00000009969	NONE	ENSXMAG00000007355	NONE	ENSORLG00000005345	NONE	ENSONIG00000000610	NONE	ENSDARG00000104687	NONE	ENSAMXG00000019476
2196	0.939671	NONE	ENSTRUG00000008790	NONE	ENSTNIG00000017030	NONE	ENSGACG00000010033	NONE	ENSXMAG00000007363	NONE	ENSORLG00000005323	NONE	ENSONIG00000000618	ENSDARG00000003998	ENSDARG00000070498	ENSAMXG00000011384	ENSAMXG00000019443
2197	0.925451	NONE	ENSTRUG00000008560	NONE	ENSTNIG00000019377	NONE	ENSGACG00000010043	NONE	ENSXMAG00000007368	NONE	ENSORLG00000005313	NONE	ENSONIG00000000620	ENSDARG00000061682	ENSDARG00000070497	ENSAMXG00000011396	ENSAMXG00000019422
2198	0.974578	NONE	ENSTRUG00000008175	NONE	ENSTNIG00000017027	NONE	ENSGACG00000010086	NONE	ENSXMAG00000003800	NONE	ENSORLG00000005270	NONE	ENSONIG00000000630	ENSDARG00000096687	ENSDARG00000016584	NONE	ENSAMXG00000011216
2199	0.986883	NONE	ENSTRUG00000008131	NONE	ENSTNIG00000017026	NONE	ENSGACG00000010108	NONE	ENSXMAG00000003815	NONE	ENSORLG00000005251	NONE	ENSONIG00000000650	ENSDARG00000103092	ENSDARG00000056057	ENSAMXG00000026021	ENSAMXG00000025417
2200	0.998993	NONE	ENSTRUG00000004737	NONE	ENSTNIG00000017022	NONE	ENSGACG00000010178	NONE	ENSXMAG00000003848	NONE	ENSORLG00000005187	NONE	ENSONIG00000000715	NONE	ENSDARG00000071090	NONE	ENSAMXG00000011135
2201	0.998977	NONE	ENSTRUG00000003434	NONE	ENSTNIG00000017018	NONE	ENSGACG00000010249	NONE	ENSXMAG00000018569	NONE	ENSORLG00000005105	NONE	ENSONIG00000000743	NONE	ENSDARG00000022944	NONE	ENSAMXG00000011090
2202	0.982325	NONE	ENSTRUG00000002730	NONE	ENSTNIG00000017016	NONE	ENSGACG00000010267	NONE	ENSXMAG00000018555	NONE	ENSORLG00000005071	NONE	ENSONIG00000000756	NONE	ENSDARG00000031293	NONE	ENSAMXG00000018415
2203	0.491241	ENSTRUG00000008397	ENSTRUG00000001747	ENSTNIG00000006105	ENSTNIG00000017014	NONE	ENSGACG00000010300	NONE	ENSXMAG00000018363	ENSORLG00000020045	ENSORLG00000005049	ENSONIG00000019059	ENSONIG00000000768	ENSDARG00000044161	ENSDARG00000074583	NONE	ENSAMXG00000018471
2204	0.487853	ENSTRUG00000008212	NONE	ENSTNIG00000002897	ENSTNIG00000017013	ENSGACG00000014310	ENSGACG00000010307	NONE	ENSXMAG00000018354	NONE	ENSORLG00000005009	ENSONIG00000019058	ENSONIG00000000777	ENSDARG00000029768	ENSDARG00000044144	ENSAMXG00000019187	ENSAMXG00000018523
2205	0.485036	ENSTRUG00000007640	ENSTRUG00000006226	ENSTNIG00000011886	ENSTNIG00000017012	ENSGACG00000014314	ENSGACG00000010338	ENSXMAG00000014250	ENSXMAG00000018333	ENSORLG00000014973	NONE	ENSONIG00000019055	ENSONIG00000000784	ENSDARG00000014907	ENSDARG00000032831	ENSAMXG00000019194	ENSAMXG00000018568
2206	0.999908	ENSTRUG00000000347	NONE	ENSTNIG00000012159	NONE	ENSGACG00000011591	NONE	ENSXMAG00000000936	NONE	ENSORLG00000011648	NONE	ENSONIG00000014637	NONE	ENSDARG00000026224	NONE	ENSAMXG00000017352	NONE
2207	0.999999	NONE	ENSTRUG00000005577	NONE	ENSTNIG00000001265	NONE	ENSGACG00000010363	NONE	ENSXMAG00000019971	NONE	ENSORLG00000004925	NONE	ENSONIG00000020725	NONE	ENSDARG00000016855	NONE	ENSAMXG00000025516
2208	0.999999	ENSTRUG00000000388	NONE	ENSTNIG00000012160	NONE	ENSGACG00000011573	NONE	ENSXMAG00000000917	NONE	ENSORLG00000011695	NONE	ENSONIG00000014634	NONE	ENSDARG00000060951	NONE	ENSAMXG00000017419	NONE
2209	0.999999	NONE	ENSTRUG00000005296	NONE	ENSTNIG00000017009	NONE	ENSGACG00000010365	NONE	ENSXMAG00000018317	NONE	ENSORLG00000004921	NONE	ENSONIG00000000803	NONE	ENSDARG00000039434	NONE	ENSAMXG00000009545
2210	0.999554	ENSTRUG00000000450	ENSTRUG00000018092	ENSTNIG00000012161	ENSTNIG00000009295	ENSGACG00000011548	ENSGACG00000015923	ENSXMAG00000000892	ENSXMAG00000013993	ENSORLG00000011733	ENSORLG00000009256	ENSONIG00000014627	ENSONIG00000005681	ENSDARG00000100265	ENSDARG00000003203	ENSAMXG00000017438	ENSAMXG00000015058
2211	0.999998	ENSTRUG00000000546	NONE	ENSTNIG00000012164	NONE	ENSGACG00000011505	NONE	ENSXMAG00000000874	NONE	ENSORLG00000011861	NONE	ENSONIG00000014611	NONE	ENSDARG00000103643	NONE	ENSAMXG00000017488	NONE
2212	0.999999	ENSTRUG00000000691	NONE	ENSTNIG00000012165	NONE	ENSGACG00000011484	NONE	ENSXMAG00000000851	NONE	ENSORLG00000011897	NONE	ENSONIG00000014603	NONE	ENSDARG00000063101	NONE	ENSAMXG00000017537	NONE
2213	0.999999	NONE	ENSTRUG00000018073	NONE	ENSTNIG00000009296	NONE	ENSGACG00000015919	NONE	ENSXMAG00000014011	NONE	ENSORLG00000009210	NONE	ENSONIG00000005687	NONE	ENSDARG00000011449	NONE	ENSAMXG00000015161
2214	0.999554	ENSTRUG00000000858	ENSTRUG00000018061	ENSTNIG00000012166	ENSTNIG00000009297	ENSGACG00000011478	ENSGACG00000015911	ENSXMAG00000000832	ENSXMAG00000014039	ENSORLG00000011931	ENSORLG00000009133	ENSONIG00000014600	ENSONIG00000005696	ENSDARG00000070971	ENSDARG00000062909	ENSAMXG00000017549	ENSAMXG00000015224
2215	0.999998	ENSTRUG00000001037	NONE	ENSTNIG00000012167	NONE	ENSGACG00000011466	NONE	ENSXMAG00000000823	NONE	ENSORLG00000011944	NONE	ENSONIG00000014595	NONE	ENSDARG00000052124	NONE	ENSAMXG00000017574	NONE
2216	0.999999	ENSTRUG00000001340	NONE	ENSTNIG00000012168	NONE	ENSGACG00000011465	NONE	ENSXMAG00000000820	NONE	ENSORLG00000011969	NONE	ENSONIG00000014593	NONE	ENSDARG00000052122	NONE	ENSAMXG00000017587	NONE
2217	0.999963	NONE	ENSTRUG00000016874	NONE	ENSTNIG00000009544	NONE	ENSGACG00000016873	NONE	ENSXMAG00000002358	NONE	ENSORLG00000002240	NONE	ENSONIG00000013286	NONE	ENSDARG00000058257	NONE	ENSAMXG00000015305
2218	0.992289	ENSTRUG00000002096	ENSTRUG00000016255	NONE	ENSTNIG00000009600	ENSGACG00000011459	ENSGACG00000017129	ENSXMAG00000020251	ENSXMAG00000019680	ENSORLG00000011983	ENSORLG00000000988	ENSONIG00000020441	ENSONIG00000020451	NONE	ENSDARG00000016739	ENSAMXG00000024863	ENSAMXG00000025571
2219	0.999998	NONE	ENSTRUG00000016253	NONE	ENSTNIG00000009601	NONE	ENSGACG00000017125	NONE	ENSXMAG00000001487	NONE	ENSORLG00000000982	NONE	ENSONIG00000005908	NONE	ENSDARG00000003132	NONE	ENSAMXG00000003826
2220	0.999989	ENSTRUG00000002146	NONE	ENSTNIG00000011373	NONE	ENSGACG00000011446	NONE	ENSXMAG00000000818	NONE	ENSORLG00000011996	NONE	ENSONIG00000014592	NONE	ENSDARG00000052115	NONE	ENSAMXG00000017599	NONE
2221	0.998358	ENSTRUG00000002330	NONE	ENSTNIG00000011374	NONE	ENSGACG00000011437	NONE	ENSXMAG00000000802	NONE	ENSORLG00000012036	NONE	ENSONIG00000014588	NONE	ENSDARG00000051756	NONE	ENSAMXG00000017601	NONE
2222	0.635987	NONE	ENSTRUG00000016239	ENSTNIG00000011375	ENSTNIG00000009602	ENSGACG00000011397	ENSGACG00000017121	ENSXMAG00000000796	ENSXMAG00000001471	ENSORLG00000012070	ENSORLG00000000964	ENSONIG00000014579	ENSONIG00000005912	ENSDARG00000102453	ENSDARG00000052138	ENSAMXG00000017604	NONE
2223	0.429938	NONE	ENSTRUG00000016200	ENSTNIG00000011376	NONE	ENSGACG00000011389	NONE	ENSXMAG00000000785	NONE	ENSORLG00000012089	NONE	ENSONIG00000014578	NONE	ENSDARG00000103184	ENSDARG00000093480	ENSAMXG00000017611	NONE
2224	0.769053	ENSTRUG00000003190	NONE	ENSTNIG00000011377	NONE	ENSGACG00000011388	NONE	ENSXMAG00000020250	NONE	ENSORLG00000012093	NONE	ENSONIG00000014577	NONE	ENSDARG00000035873	NONE	ENSAMXG00000025114	NONE
2225	0.999908	ENSTRUG00000000584	NONE	ENSTNIG00000012726	NONE	ENSGACG00000003265	NONE	ENSXMAG00000010098	NONE	ENSORLG00000009228	NONE	ENSONIG00000014071	NONE	ENSDARG00000032131	NONE	ENSAMXG00000014808	NONE
2226	0.999999	NONE	ENSTRUG00000016194	NONE	ENSTNIG00000009605	NONE	ENSGACG00000017115	NONE	ENSXMAG00000020315	NONE	ENSORLG00000000946	NONE	ENSONIG00000020452	NONE	ENSDARG00000088593	NONE	ENSAMXG00000026281
2227	0.999999	ENSTRUG00000000756	NONE	ENSTNIG00000012725	NONE	ENSGACG00000003260	NONE	ENSXMAG00000010094	NONE	ENSORLG00000009211	NONE	ENSONIG00000014074	NONE	ENSDARG00000016093	NONE	ENSAMXG00000014805	NONE
2228	0.999999	ENSTRUG00000001223	NONE	ENSTNIG00000012721	NONE	ENSGACG00000003207	NONE	ENSXMAG00000010052	NONE	ENSORLG00000009116	NONE	ENSONIG00000014087	NONE	ENSDARG00000027825	NONE	ENSAMXG00000014735	NONE
2229	0.999967	ENSTRUG00000001324	NONE	ENSTNIG00000012720	NONE	ENSGACG00000003204	NONE	ENSXMAG00000010050	NONE	ENSORLG00000009097	NONE	ENSONIG00000014090	NONE	ENSDARG00000077431	NONE	ENSAMXG00000014722	NONE
2230	0.584997	ENSTRUG00000001619	NONE	NONE	ENSTNIG00000000624	ENSGACG00000003182	NONE	ENSXMAG00000010029	NONE	ENSORLG00000009065	NONE	ENSONIG00000014104	NONE	ENSDARG00000088232	NONE	ENSAMXG00000014652	NONE
2231	0.999967	ENSTRUG00000001682	NONE	ENSTNIG00000012718	NONE	ENSGACG00000003172	NONE	ENSXMAG00000009957	NONE	ENSORLG00000009034	NONE	ENSONIG00000014106	NONE	ENSDARG00000077492	NONE	ENSAMXG00000014593	NONE
2232	0.999998	ENSTRUG00000003969	NONE	ENSTNIG00000012716	NONE	ENSGACG00000003151	NONE	ENSXMAG00000009914	NONE	ENSORLG00000008885	NONE	ENSONIG00000014123	NONE	ENSDARG00000016496	NONE	ENSAMXG00000014535	NONE
2233	0.999644	ENSTRUG00000004356	NONE	ENSTNIG00000012715	ENSTNIG00000010028	ENSGACG00000003147	ENSGACG00000020683	ENSXMAG00000009903	NONE	ENSORLG00000008849	ENSORLG00000006655	ENSONIG00000014127	ENSONIG00000005158	ENSDARG00000062948	ENSDARG00000059466	ENSAMXG00000014501	ENSAMXG00000006572
2234	0.999998	ENSTRUG00000004837	NONE	ENSTNIG00000012713	NONE	ENSGACG00000003114	NONE	ENSXMAG00000009886	NONE	ENSORLG00000008821	NONE	ENSONIG00000014128	NONE	ENSDARG00000078109	NONE	ENSAMXG00000014486	NONE
2235	0.999999	NONE	ENSTRUG00000016892	NONE	ENSTNIG00000010029	NONE	ENSGACG00000020684	NONE	ENSXMAG00000012980	NONE	ENSORLG00000006664	NONE	ENSONIG00000005163	NONE	ENSDARG00000035735	NONE	ENSAMXG00000006593
2236	0.999999	ENSTRUG00000005068	NONE	ENSTNIG00000012712	NONE	ENSGACG00000003110	NONE	ENSXMAG00000009876	NONE	ENSORLG00000008802	NONE	ENSONIG00000014130	NONE	ENSDARG00000010516	NONE	ENSAMXG00000014475	NONE
2237	0.999999	ENSTRUG00000005500	NONE	ENSTNIG00000012710	NONE	ENSGACG00000003102	NONE	ENSXMAG00000009830	NONE	ENSORLG00000008783	NONE	ENSONIG00000014132	NONE	ENSDARG00000029177	NONE	ENSAMXG00000014426	NONE
2238	0.999999	ENSTRUG00000005777	NONE	ENSTNIG00000012705	NONE	ENSGACG00000003081	NONE	ENSXMAG00000009821	NONE	ENSORLG00000008758	NONE	ENSONIG00000014139	NONE	ENSDARG00000031637	NONE	ENSAMXG00000014360	NONE
2239	0.999999	ENSTRUG00000007579	NONE	ENSTNIG00000012701	NONE	ENSGACG00000003040	NONE	ENSXMAG00000009725	NONE	ENSORLG00000008674	NONE	ENSONIG00000014169	NONE	ENSDARG00000058318	NONE	ENSAMXG00000014179	NONE
2240	0.999932	ENSTRUG00000007680	NONE	ENSTNIG00000012700	NONE	ENSGACG00000003016	NONE	ENSXMAG00000009711	NONE	ENSORLG00000008670	NONE	ENSONIG00000014172	NONE	ENSDARG00000058394	NONE	ENSAMXG00000014160	NONE
2241	0.988962	ENSTRUG00000007781	NONE	ENSTNIG00000012699	NONE	ENSGACG00000003004	NONE	ENSXMAG00000009705	NONE	ENSORLG00000008654	NONE	ENSONIG00000014173	NONE	ENSDARG00000075627	ENSDARG00000076435	ENSAMXG00000014137	NONE
2242	0.999908	ENSTRUG00000007870	NONE	ENSTNIG00000012698	NONE	ENSGACG00000002998	NONE	ENSXMAG00000009698	NONE	ENSORLG00000008640	NONE	ENSONIG00000014175	NONE	ENSDARG00000057939	NONE	ENSAMXG00000013881	NONE
2243	0.999998	ENSTRUG00000007963	NONE	ENSTNIG00000012697	NONE	ENSGACG00000002995	NONE	ENSXMAG00000020159	NONE	ENSORLG00000008625	NONE	ENSONIG00000020419	NONE	ENSDARG00000058039	NONE	ENSAMXG00000026338	NONE
2244	0.999683	ENSTRUG00000007973	ENSTRUG00000010267	ENSTNIG00000012696	NONE	ENSGACG00000002986	ENSGACG00000001621	ENSXMAG00000009690	NONE	ENSORLG00000008620	ENSORLG00000007243	ENSONIG00000014178	ENSONIG00000014059	ENSDARG00000013861	NONE	ENSAMXG00000013865	ENSAMXG00000019582
2245	0.999971	ENSTRUG00000008104	NONE	ENSTNIG00000012695	NONE	ENSGACG00000002983	NONE	ENSXMAG00000009687	NONE	ENSORLG00000008598	NONE	ENSONIG00000014180	NONE	ENSDARG00000045304	NONE	ENSAMXG00000013860	NONE
2246	0.996335	ENSTRUG00000008766	NONE	ENSTNIG00000000114	NONE	ENSGACG00000002971	NONE	ENSXMAG00000020158	NONE	ENSORLG00000008503	NONE	ENSONIG00000020420	NONE	ENSDARG00000027657	NONE	ENSAMXG00000026337	ENSAMXG00000024952
2247	0.999889	ENSTRUG00000008796	NONE	ENSTNIG00000004026	NONE	ENSGACG00000002969	NONE	ENSXMAG00000020318	NONE	ENSORLG00000008498	NONE	ENSONIG00000014187	NONE	ENSDARG00000003941	NONE	ENSAMXG00000026336	NONE
2248	0.499983	NONE	ENSTRUG00000005115	NONE	ENSTNIG00000000201	NONE	ENSGACG00000001581	ENSXMAG00000014037	ENSXMAG00000004201	NONE	ENSORLG00000007161	NONE	ENSONIG00000020413	NONE	ENSDARG00000078598	NONE	ENSAMXG00000025012
2249	0.999999	NONE	ENSTRUG00000001476	NONE	ENSTNIG00000005743	NONE	ENSGACG00000002406	NONE	ENSXMAG00000000717	NONE	ENSORLG00000006885	NONE	ENSONIG00000014503	NONE	ENSDARG00000033965	NONE	ENSAMXG00000007780
